,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,time_window,filename,Cluster
57,0.9101783,-11.5059,-0.2785401,1.0758995,2.4256577,"[28.5, 29.0]",SM15XPRIZE_20240411_095302.wav,6
58,2.1664603,-11.755446,-0.8448647,0.43525538,2.5598078,"[29.0, 29.5]",SM15XPRIZE_20240411_095302.wav,6
59,0.9687125,-12.114318,-1.0503899,0.73076177,2.8434167,"[29.5, 30.0]",SM15XPRIZE_20240411_095302.wav,6
60,2.2198002,-12.254431,-1.0662593,0.75120234,2.554956,"[30.0, 30.5]",SM15XPRIZE_20240411_095302.wav,6
61,1.1203822,-12.169415,-1.1921325,0.9208892,3.1239486,"[30.5, 31.0]",SM15XPRIZE_20240411_095302.wav,6
62,0.09998585,-11.24978,-0.68501085,0.95270896,2.7162998,"[31.0, 31.5]",SM15XPRIZE_20240411_095302.wav,6
63,-5.904204,-8.81248,-0.52776504,0.29612896,1.6529477,"[31.5, 32.0]",SM15XPRIZE_20240411_095302.wav,1
64,-16.361174,-6.112436,0.976227,0.25284585,-0.15791649,"[32.0, 32.5]",SM15XPRIZE_20240411_095302.wav,1
65,-16.221937,-5.6006856,1.4707577,0.7394931,-0.17606483,"[32.5, 33.0]",SM15XPRIZE_20240411_095302.wav,1
66,-16.334185,-5.492152,0.91037184,0.47013658,-0.19889133,"[33.0, 33.5]",SM15XPRIZE_20240411_095302.wav,1
67,-15.038528,-5.4542346,0.6279391,0.35312167,-0.026660088,"[33.5, 34.0]",SM15XPRIZE_20240411_095302.wav,1
68,-8.877135,-7.75172,1.276778,1.6151661,1.5247445,"[34.0, 34.5]",SM15XPRIZE_20240411_095302.wav,1
69,-6.394763,-8.909873,0.8884576,1.2427225,1.3448725,"[34.5, 35.0]",SM15XPRIZE_20240411_095302.wav,1
70,-5.1534657,-9.10383,-0.1775213,0.6291821,1.7755412,"[35.0, 35.5]",SM15XPRIZE_20240411_095302.wav,1
